,Symbol,Sector,MarketCap,Industry,ETF,Name
17,A,Capital Goods,23276679025.62,Biotechnology: Laboratory Analytical Instruments,N,"Agilent Technologies, Inc."
21,AA,Basic Industries,10544456723.71,Aluminum,N,Alcoa Corporation Common Stock 
22,AAAP,Health Care,3454032566.16,Major Pharmaceuticals,N,Advanced Accelerator Applications S.A.
23,AABA,Technology,64752249961.52,EDP Services,N,Altaba Inc.
24,AAC,Health Care,216706157.01,"Food, Beverage & Tobacco",N,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.
25,AAD,,,Consumer Services,N,ARDENT LEISURE GROUP
26,AADR,,,,Y,AdvisorShares Dorsey Wright ADR ETF
27,AAJ,,,Materials,N,ARUMA RESOURCES LIMITED
28,AAL,Transportation,27829506085.68,Energy,N,"American Airlines Group, Inc."
29,AAMC,Finance,114040019.44299999,Real Estate,N,Altisource Asset Management Corp
30,AAME,Finance,68369829.795,Life Insurance,N,Atlantic American Corporation
31,AAN,Technology,2932163360.4,Diversified Commercial Services,N,"Aaron&#39;s,  Inc."
32,AAOI,Technology,658994324.0,Semiconductors,N,"Applied Optoelectronics, Inc."
33,AAON,Capital Goods,1904601976.2,Industrial Machinery/Components,N,"AAON, Inc. - Common Stock"
34,AAP,Consumer Services,8524139260.05,"Food, Beverage & Tobacco",N,Advance Auto Parts Inc
35,AAPL,Technology,911091729600.0,Computer Manufacturing,N,Apple Inc.
36,AAR,,,Materials,N,ANGLO AUSTRALIAN RESOURCES NL
37,AAT,Consumer Services,1712622798.4,Real Estate Investment Trusts,N,"American Assets Trust, Inc. Common Stock"
38,AAU,Basic Industries,97942890.05,Media,N,"Almaden Minerals, Ltd. Common Shares"
39,AAV,Energy,669467469.6,Oil & Gas Production,N,Advantage Oil & Gas Ltd  Ordinary Shares
40,AAWW,Transportation,1566288045.0,Transportation Services,N,Atlas Air Worldwide Holdings
41,AAXJ,n/a,5264248000.0,n/a,Y,iShares MSCI All Country Asia ex Japan Index Fund
42,AAXN,Capital Goods,1466212828.99,Ordnance And Accessories,N,"Axon Enterprise, Inc. - Common Stock"
43,AB,Finance,2532591766.65,Investment Managers,N,AllianceBernstein Holding L.P.
45,ABA,,,Banks,N,AUSWIDE BANK LTD
46,ABAC,Consumer Non-Durables,23232697.95,Farming/Seeds/Milling,N,"Renmin Tianli Group, Inc."
47,ABAX,Capital Goods,1384290030.0,Industrial Machinery/Components,N,"ABAXIS, Inc."
48,ABB,Consumer Durables,59551198607.7,Electrical Products,N,ABB Ltd
49,ABBV,Health Care,166603407666.4,Major Pharmaceuticals,N,AbbVie Inc.
50,ABC,Health Care,22091711766.3,Other Pharmaceuticals,N,ADELAIDE BRIGHTON LIMITED
51,ABCB,Finance,1993722673.95,Major Banks,N,Ameris Bancorp
52,ABCD,Consumer Services,331356126.7,Publishing,N,"Cambium Learning Group, Inc. - Common Stock"
53,ABDC,n/a,121226822.2,n/a,N,Alcentra Capital Corp. - Common Stock
54,ABE,,,,N,"Aberdeen Emerging Markets Company Oppotunities Fund, Inc. Common Stock"
56,ABEO,Health Care,713322669.25,Major Pharmaceuticals,N,Abeona Therapeutics Inc. - Common Stock
58,ABEV,Consumer Non-Durables,106515300969.96,Beverages (Production/Distribution),N,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
59,ABG,Consumer Durables,1511365165.2,Automotive Aftermarket,N,Asbury Automotive Group Inc
60,ABIL,Finance,13135632.42,Business Services,N,Ability Inc.
61,ABIO,Health Care,18801563.2,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N,"ARCA biopharma, Inc."
62,ABL,,,Energy,N,ABILENE OIL AND GAS LIMITED
63,ABLX,Health Care,544576635.0,Biotechnology: Biological Products (No Diagnostic Substances),N,Ablynx NV - American Depositary Shares
64,ABM,Finance,2537368103.13,Diversified Commercial Services,N,ABM Industries Incorporated
65,ABMD,Health Care,9910164578.85,Medical/Dental Instruments,N,"ABIOMED, Inc. - Common Stock"
66,ABP,,,Real Estate,N,ABACUS PROPERTY GROUP
67,ABR,Consumer Services,523855311.72,Real Estate Investment Trusts,N,AMERICAN PACIFIC BORATE & LITHIUM LIMITED
