date,open,high,low,close,adjClose,volume,symbol,technicals_ema8,technicals_sma20,technicals_sma50,technicals_stddev20,technicals_rsi14,technicals_cci50,technicals_cci5,technicals_snapback,technicals_hasCherries,technicals_avgVolume,technicals_macd,technicals_macdSignal,technicals_macdHistogram,technicals_atr8,technicals_ema8w,technicals_sma20w,technicals_ema8m,technicals_cci50w,technicals_cci5w,scores_ema8,scores_sma20,scores_sma50,scores_ema8w,scores_sma20w,scores_ema8m,scores_snapback,scores_snapStrength,scores_snapTiming,scores_guruScoreEMA8,scores_guruScoreSMA20,scores_guruScoreSMA50
2016-07-15T04:00:00.000Z,7.12,7.9,7,7.71,7.71,2382000,REN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18T04:00:00.000Z,7.63,8.3,7.33,7.69,7.69,1792400,REN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-19T04:00:00.000Z,7.57,7.8,7.12,7.33,7.33,896600,REN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20T04:00:00.000Z,7.17,7.4,7.01,7.17,7.17,760400,REN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-21T04:00:00.000Z,7.2,7.35,6.91,7.04,7.04,515500,REN,,,,,,,-98.44559585492168,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-22T04:00:00.000Z,7.13,7.9,7.12,7.64,7.64,942500,REN,,,,,,,46.67519181585672,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-25T04:00:00.000Z,7.52,7.65,6.92,6.97,6.97,679100,REN,,,,,,,-46.123372948500396,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-26T04:00:00.000Z,6.87,7.17,6.81,7.08,7.08,486600,REN,7.328749999999999,,,,,,-91.73126614987052,,,,,,,,,,,,,85.13714052205931,,,,,,,,,,,
2016-07-27T04:00:00.000Z,7.1,7.24,6.58,6.72,6.72,490200,REN,7.193472222222222,,,,,,-107.8431372549022,,,,,,,0.6362500000000002,,,,,,40.796293245816884,,,,,,,,,,,
2016-07-28T04:00:00.000Z,6.66,6.84,6.44,6.66,6.66,341900,REN,7.074922839506173,,,,,,-105.74229691876756,,,,,,,0.6067187500000001,,,,,,52.15805819962726,,,,,,,,,,,
2016-07-29T04:00:00.000Z,6.59,6.95,6.45,6.87,6.87,462800,REN,7.029384430727023,,,,,,-52.91005291005308,,,,,,,0.5933789062500001,,,,,,93.2286516431229,,,,,,,,,,,
2016-08-01T04:00:00.000Z,6.86,6.86,5.99,6.16,6.16,454800,REN,6.836187890565463,,,,,,-139.57426221577188,,,,,,,0.6292065429687501,,,,,,5.9792219059726985,,,,,,,,,,,
2016-08-02T04:00:00.000Z,6.24,6.3,5.72,5.94,5.94,582200,REN,6.6370350259953605,,,,,,-124.645892351275,,,,,,,0.6230557250976564,,,,,,3.586073954780866,,,,,,,,,,,
2016-08-03T04:00:00.000Z,5.9,6.22,5.78,6.22,6.22,462900,REN,6.544360575774169,,,,,,-69.91869918699211,,,,,,,0.6001737594604493,,,,,,66.18308883946472,,,,,,,,,,,
2016-08-04T04:00:00.000Z,6.29,6.84,6.06,6.64,6.64,525200,REN,6.565613781157687,,,,37.587006960556835,,49.45054945054918,,,,,,,0.6226520395278932,,,,,,97.4221439884683,,,,,,,,,,,
2016-08-05T04:00:00.000Z,6.6,6.92,6.42,6.75,6.75,251000,REN,6.606588496455979,,,,39.25655723467083,,107.36079328756674,,,,,,,0.6073205345869065,,,,,,93.72025183111062,,,,,,,,,,,
2016-08-08T04:00:00.000Z,6.78,8.4,6.78,8.35,8.35,1664200,REN,6.994013275021317,,,,57.19343509006507,,157.14040508067276,,,,,,,0.7376554677635432,,,,,,0.0000042747908213236485,,,,,,,,,,,
2016-08-09T04:00:00.000Z,9.64,10.94,9.17,9.76,9.76,5538700,REN,7.608676991683247,,,,66.56365964231178,,142.69662921348313,,,,,,,0.9691985342931002,,,,,,0.0000010717590259723409,,,,,,,,,,,
2016-08-10T04:00:00.000Z,9.64,12.6,9.19,11.21,11.21,6280700,REN,8.408970993531414,,,,73.08778910608963,,104.27034837052501,,,,,,,1.2742987175064626,,,,,,0.0000010717590259723409,,,,,,,,,,,
2016-08-11T04:00:00.000Z,11.23,14.14,10.83,13.88,13.88,6424200,REN,9.6247552171911,7.6895,,3.7247146199407024,80.59583270546392,,112.312850188298,,,1596695,,,,1.5287613778181548,,,,,,0.0000010717590259723409,0.0000010717590259723409,,,,,,,,,,
2016-08-12T04:00:00.000Z,14.09,15.29,13.45,14.43,14.43,5405900,REN,10.692587391148633,8.0255,,4.744333356753089,81.72674624893274,,107.9033579033579,,,1747890,,,,1.5676662055908854,,,,,,0.0000010717590259723409,0.0000010717590259723409,,,,,,,,,,
2016-08-15T04:00:00.000Z,14.4,17.49,14,17.42,17.42,4257600,REN,12.187567970893381,8.512,,6.260254307933501,86.37559264756183,,115.47212741751987,,,1871150,,,,1.8079579298920245,,,,,,0.0000010717590259723409,0.0000010717590259723409,,,,,,,,,,
2016-08-16T04:00:00.000Z,17.139999,19.969999,16.549999,18.209999,18.209999,8124900,REN,13.525885977361519,9.05599995,,7.519165667705439,87.29526861087366,,113.31601162022889,,,2232565,,,,2.0094631886555216,,,,,,0.0000010717590259723409,0.0000010717590259723409,,,,,,,,,,
2016-08-17T04:00:00.000Z,17.66,18.280001,16.66,17.950001,17.950001,3240400,REN,14.50902264905896,9.595000000000002,,8.395535712269961,85.25556024299212,,64.42788998292203,,,2356565,,,,1.9607804150735813,,,,,,0.0000010717590259723409,0.0000010717590259723409,,,,,,,,,,
2016-08-18T04:00:00.000Z,18.040001,20.110001,17.33,17.950001,17.950001,4565700,REN,15.273684504823635,10.140500050000004,,9.052642819630094,85.25556024299213,,73.18872412526896,,,2559075,,,,2.063182988189384,,,,,173.91746277167397,0.00020234306370436883,0.0000010717590259723409,,,,,,,,,,
2016-08-19T04:00:00.000Z,17.129999,19.1,16.48,18.969999,18.969999,3651600,REN,16.09508772597394,10.707000000000004,,9.747213113911096,86.67242142880359,,43.720395594707526,,,2694530,,,,2.132785114665711,,,,,143.96234900426697,0.00010434763384470358,0.0000010717590259723409,,,,,,,,,,
2016-08-22T04:00:00.000Z,18.540001,20.48,18.18,19.41,19.41,4607900,REN,16.831734897979732,11.329000000000004,,10.286692154818304,87.24195858466102,,152.9508605875761,,,2890970,,,,2.153686975332497,,,,,140.92262503183602,0.009682770351915337,0.0000010717590259723409,,,,,,,,,,
2016-08-23T04:00:00.000Z,19.190001,19.440001,17.4,17.52,17.52,3684800,REN,16.98468269842868,11.851000000000003,,10.42981282133101,72.84243593447205,,-34.36629506957141,,,3050880,,,,2.1394762284159348,,,,,107.75696369500255,87.27097166439106,0.0000010717590259723409,,,,,,,,,,
2016-08-24T04:00:00.000Z,17.469999,18.059999,17.02,17.870001,17.870001,1998300,REN,17.181420098777863,12.408500050000004,,10.465085411624731,73.70788280566934,,-105.7422788443173,,,3126285,,,,2.0020415748639433,,,,,90.69583354388774,78.72504901129669,0.0000010717590259723409,,,,,,,,,,
2016-08-25T04:00:00.000Z,17.5,17.93,15.85,16.08,16.08,3193200,REN,16.936660076827227,12.879500050000004,,10.233160825678485,62.70254366043557,,-133.7641989815904,,,3268850,,,,2.0117863780059504,,,,,69.34888020133945,64.68355357243476,0.0000010717590259723409,,,,,,,,,,
2016-08-26T04:00:00.000Z,16.059999,17.360001,15.91,16.68,16.68,1628700,REN,16.879624504198954,13.370000050000005,,9.971016060963931,64.60999212608425,,-80.9988275837114,,,3327145,,,,1.9415632057552066,,,,,64.01125374440227,97.3006796838195,0.0000010717590259723409,,,,,,,,,,
