date,open,high,low,close,adjClose,volume,symbol,technicals_ema8,technicals_sma20,technicals_sma50,technicals_stddev20,technicals_rsi14,technicals_cci50,technicals_cci5,technicals_snapback,technicals_hasCherries,technicals_avgVolume,technicals_macd,technicals_macdSignal,technicals_macdHistogram,technicals_atr8,technicals_ema8w,technicals_sma20w,technicals_ema8m,technicals_cci50w,technicals_cci5w,scores_ema8,scores_sma20,scores_sma50,scores_ema8w,scores_sma20w,scores_ema8m,scores_snapback,scores_snapStrength,scores_snapTiming,scores_guruScoreEMA8,scores_guruScoreSMA20,scores_guruScoreSMA50
2016-07-15T04:00:00.000Z,8.47,8.49,8.31,8.38,8.38,249500,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18T04:00:00.000Z,8.33,8.46,8.28,8.43,8.43,278000,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-19T04:00:00.000Z,8.44,8.48,8.35,8.41,8.41,214300,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20T04:00:00.000Z,8.41,8.69,8.36,8.64,8.64,259700,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-21T04:00:00.000Z,8.6,8.65,8.44,8.47,8.47,153600,TA,,,,,,,62.25680933852294,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-22T04:00:00.000Z,8.43,8.56,8.31,8.49,8.49,156100,TA,,,,,,,-16.59125188536964,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-25T04:00:00.000Z,8.44,8.53,8.36,8.41,8.41,198500,TA,,,,,,,-55.5555555555548,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-26T04:00:00.000Z,8.37,8.5,8.37,8.41,8.41,96900,TA,8.455,,,,,,-70.40998217468835,,,,,,,,,,,,,98.56326876430659,,,,,,,,,,,
2016-07-27T04:00:00.000Z,8.4,8.5,8.36,8.41,8.41,92200,TA,8.445,,,,,,-66.03773584905669,,,,,,,0.19250000000000056,,,,,,98.7265746559993,,,,,,,,,,,
2016-07-28T04:00:00.000Z,8.35,8.39,8.14,8.18,8.18,225200,TA,8.386111111111111,,,,,,-166.66666666666478,,,,,,,0.20218750000000044,,,,,,92.17428948916906,,,,,,,,,,,
2016-07-29T04:00:00.000Z,8.15,8.33,8.11,8.19,8.19,178800,TA,8.342530864197531,,,,,,-92.39130434782658,,,,,,,0.20441406250000047,,,,,,95.24075140546339,,,,,,,,,,,
2016-08-01T04:00:00.000Z,8.2,8.25,8.11,8.14,8.14,147000,TA,8.297524005486968,,,,,,-79.34508816120868,,,,,,,0.1963623046875005,,,,,,94.95620093628389,,,,,,,,,,,
2016-08-02T04:00:00.000Z,8.11,8.16,7.84,8,8,313000,TA,8.231407559823198,,,,,,-139.33691756272347,,,,,,,0.21181701660156296,,,,,,89.89320203585856,,,,,,,,,,,
2016-08-03T04:00:00.000Z,7.95,8.27,7.83,8.26,8.26,204100,TA,8.237761435418044,,,,,,-25.64102564102446,,,,,,,0.24033988952636753,,,,,,98.90476535123469,,,,,,,,,,,
2016-08-04T04:00:00.000Z,8.22,8.37,8.14,8.27,8.27,182300,TA,8.2449255608807,,,,45.669291338582624,,99.14841849148524,,,,,,,0.23904740333557142,,,,,,98.86471972133954,,,,,,,,,,,
2016-08-05T04:00:00.000Z,8.3,8.45,8.28,8.4,8.4,136400,TA,8.279386547351656,,,,51.06382978723404,,119.70074812967638,,,,,,,0.23166647791862496,,,,,,96.54131151331124,,,,,,,,,,,
2016-08-08T04:00:00.000Z,7.6,8.32,7.52,7.65,7.65,1288700,TA,8.139522870162399,,,,31.581406213501502,,-118.34157056562313,,,,,,,0.31270816817879693,,,,,,49.774247815390815,,,,,,,,,,,
2016-08-09T04:00:00.000Z,7.52,7.83,7.52,7.8,7.8,362400,TA,8.064073343459643,,,,36.77682519827979,,-99.76798143851536,,,,,,,0.3123696471564474,,,,,,86.21708026618222,,,,,,,,,,,
2016-08-10T04:00:00.000Z,7.75,7.76,7.56,7.58,7.58,373800,TA,7.956501489357501,,,,32.83822245661953,,-77.46478873239448,,,,,,,0.3033234412618915,,,,,,69.39930366286731,,,,,,,,,,,
2016-08-11T04:00:00.000Z,7.68,7.72,7.44,7.49,7.49,482500,TA,7.852834491722501,8.200500000000002,,0.6412324071660347,31.358670901855763,,-80.18124507486192,,,279650,,,,0.30040801110415494,,,,,,70.94672987897927,14.329267616333684,,,,,,,,,,
2016-08-12T04:00:00.000Z,7.42,7.59,7.4,7.47,7.47,180000,TA,7.767760160228612,8.155000000000001,,0.70935181680178,31.024150560657347,,-100.4273504273501,,,276175,,,,0.2866070097161355,,,,,,80.69432781141556,16.855229476939094,,,,,,,,,,
2016-08-15T04:00:00.000Z,7.47,7.62,7.42,7.48,7.48,276300,TA,7.703813457955587,8.1075,,0.7550860878072114,31.418089715846385,,-62.28373702422114,,,276090,,,,0.2757811335016186,,,,,,89.2124952384183,24.324608593764186,,,,,,,,,,
2016-08-16T04:00:00.000Z,7.43,7.68,7.3,7.31,7.31,507300,TA,7.616299356187678,8.0525,,0.8166731292260792,28.44398573304312,,-108.21484992101136,,,290740,,,,0.28880849181391627,,,,,,78.56295634689083,9.882154898753615,,,,,,,,,,
2016-08-17T04:00:00.000Z,7.24,7.31,7.08,7.19,7.19,457700,TA,7.521566165923749,7.980000000000001,,0.8518685344581791,26.534549744647023,,-164.38356164383435,,,300640,,,,0.2814574303371767,,,,,,73.78455358749578,5.939178686393632,,,,,,,,,,
2016-08-18T04:00:00.000Z,7.14,7.18,7.06,7.07,7.07,443300,TA,7.421218129051805,7.910000000000001,,0.9075681792570246,24.745603138576694,,-102.49858035207264,,,315125,,,,0.2625252515450297,,,,,-158.68249852145075,69.39056078101744,3.231653695197023,,,,,,,,,,
2016-08-19T04:00:00.000Z,7.05,7.12,7.03,7.04,7.04,293500,TA,7.336502989262515,7.8375,,0.9416766961117629,24.304443243418042,,-78.14992025518336,,,321995,,,,0.24095959510190096,,,,,-144.46265019746275,78.33067190040379,4.744232899945089,,,,,,,,,,
2016-08-22T04:00:00.000Z,7.05,7.17,6.96,6.98,6.98,230000,TA,7.257280102759734,7.766,,0.9735584214622094,23.40570267837638,,-73.27258921791977,,,323570,,,,0.23708964571416333,,,,,-131.48143768280488,80.83176192524053,4.9633649731804175,,,,,,,,,,
2016-08-23T04:00:00.000Z,7.04,7.05,6.95,6.96,6.96,238800,TA,7.191217857702015,7.6935,,0.9867983583285895,23.09907825386003,,-104.65116279069666,,,330665,,,,0.21995343999989286,,,,,-124.79916725125037,86.7336299616329,7.873838471081607,,,,,,,,,,
2016-08-24T04:00:00.000Z,6.97,7.02,6.85,6.86,6.86,201900,TA,7.117613889323789,7.616000000000001,,0.9929833835467344,21.5770201980666,,-127.90697674418742,,,336150,,,,0.21370925999990625,,,,,-123.63661874063087,82.95138247401562,5.81391622126215,,,,,,,,,,
2016-08-25T04:00:00.000Z,6.88,6.97,6.82,6.85,6.85,201700,TA,7.058144136140725,7.5495,,1.0109693368248043,21.42498582259062,,-98.8934993084372,,,334975,,,,0.2057456024999179,,,,,-117.34004890689454,88.88439351148583,9.57413059507034,,,,,,,,,,
2016-08-26T04:00:00.000Z,6.83,6.94,6.79,6.83,6.83,184800,TA,7.007445439220564,7.481500000000001,,1.012448023357188,21.10469529729647,,-85.10638297872346,,,335275,,,,0.19877740218742823,,,,,-111.65577342047926,91.7294884274543,13.934680461867188,,,,,,,,,,
2016-08-29T04:00:00.000Z,6.84,6.88,6.76,6.77,6.77,135700,TA,6.954679786060439,7.413000000000001,,1.0103484547421528,20.132342651921885,,-112.61261261261325,,,334710,,,,0.18893022691399972,,,,,-109.90211501485759,90.95208065622697,14.24040956755972,,,,,,,,,,
2016-08-30T04:00:00.000Z,6.76,6.93,6.75,6.8,6.8,196300,TA,6.92030650026923,7.3530000000000015,,1.0063021415061444,22.065769100720015,,-57.85123966942126,,,328875,,,,0.18781394854974973,,,,,-99.7523339191304,95.58671076371176,27.149560875574895,,,,,,,,,,
2016-08-31T04:00:00.000Z,6.8,6.88,6.75,6.8,6.8,248900,TA,6.893571722431623,7.280000000000003,,0.9423162950940589,22.06576910072002,,-64.23611111111092,,,331115,-0.4347978172977838,-0.4452665184013733,0.01046870110358955,0.180587204981031,,,,,-95.24568151300684,96.8347936968786,40.61877362996803,,,,,,,,,,
2016-09-01T04:00:00.000Z,6.84,6.88,6.76,6.8,6.8,154300,TA,6.8727780063357065,7.206500000000003,,0.846410656832584,22.06576910072001,,-35.714285714285005,,,329715,-0.4205747241349407,-0.4403281595480868,0.019753435413146114,0.17301380435840213,,,,,-87.66881522406383,97.59468062102114,55.71327362017566,,,,,,,,,,
2016-09-02T04:00:00.000Z,6.85,6.96,6.78,6.91,6.91,161700,TA,6.881049560483327,7.132000000000002,,0.6533789099747623,29.843454722556878,,166.666666666664,,,330980,-0.3958634719516887,-0.4314352220288072,0.03557175007711849,0.17388707881360183,,,,,-71.82923274483402,98.7182904418187,87.59358377782314,,,,,,,,,,
2016-09-06T04:00:00.000Z,6.89,6.92,6.83,6.85,6.85,160700,TA,6.874149658153699,7.092000000000001,,0.6186630747021034,28.190833606168624,,63.492063492062584,,,274580,-0.3767778644354456,-0.4205037505101349,0.0437258860746893,0.1634011939619016,,,,,-69.37777449556506,98.8073089214262,84.9684640181239,,,,,,,,,,
2016-09-07T04:00:00.000Z,6.87,6.87,6.75,6.8,6.8,196900,TA,6.857671956341766,7.042000000000002,,0.5380929287770245,26.85617029913575,,-62.67806267806159,,,266305,-0.36151959228527897,-0.4087069188651637,0.047187326579884725,0.1579760447166639,,,,,-74.06933606242812,98.04724658799479,84.74105188624829,,,,,,,,,,
2016-09-08T04:00:00.000Z,6.82,6.91,6.78,6.9,6.9,225900,TA,6.867078188265817,7.008000000000001,,0.480691169047123,33.62456761980394,,37.8787878787898,,,258910,-0.3374680161871675,-0.3944591383295645,0.05699112214239699,0.1544790391270809,,,,,-61.677100068324904,98.63860154909658,96.27525385520697,,,,,,,,,,
2016-09-09T04:00:00.000Z,6.87,7.01,6.84,6.88,6.88,295100,TA,6.869949701984525,6.977500000000001,,0.42913284656373063,32.96750181356094,,118.27956989247558,,,249540,-0.31637384099705557,-0.3788420788630627,0.06246823786600714,0.1564191592361958,7.589000000000001,,,,-50.31971524868498,99.03963381570439,96.71936571404012,,9.061331849348718,,,,,,,,
2016-09-12T04:00:00.000Z,6.81,6.93,6.79,6.84,6.84,205800,TA,6.863294212654631,6.946000000000001,,0.368043475692641,31.635980457953206,,-18.518518518518658,,,250830,-0.29943254885668846,-0.36296017286178783,0.06352762400509937,0.15436676433167126,7.552463414634148,,,,-59.68211752786269,98.82202867768456,96.32390093086829,,8.48125516283671,,,,,,,,
2016-09-13T04:00:00.000Z,6.77,6.82,6.72,6.74,6.74,182200,TA,6.83589549873138,6.909000000000002,,0.285369935346781,28.53328877639656,,-118.47389558232899,,,246125,-0.29072432796202197,-0.34851300388183465,0.05778867591981268,0.15007091879021237,7.512831052944677,,,,-80.45829957212129,96.70329109200401,92.24238701806459,,4.319772679038203,,,,,,,,
2016-09-14T04:00:00.000Z,6.76,6.81,6.66,6.67,6.67,175000,TA,6.799029832346629,6.877000000000001,,0.2379159515456652,26.568958221810707,,-106.66666666666686,,,229510,-0.2861725956033858,-0.3360449222261449,0.04987232662275909,0.15006205394143576,7.471717343044937,,,,-91.53290910817772,94.95901529220856,88.41491101585312,,2.9244751394457813,,,,,,,,
2016-09-15T04:00:00.000Z,6.69,6.7,6.56,6.59,6.59,356300,TA,6.752578758491823,6.847000000000001,,0.2233472632468316,24.493604749447147,,-115.61561561561648,,,224440,-0.28572696374857554,-0.32598133053063105,0.04025436678205552,0.14880429719875637,7.428706740945184,,,,-120.16567298053091,92.463222941192,81.55704591449317,,1.717108724253258,,,,,,,,
2016-09-16T04:00:00.000Z,6.57,6.66,6.56,6.6,6.6,305900,TA,6.718672367715862,6.823500000000001,,0.22345245579282524,25.279298299917574,,-87.5706214689276,,,217570,-0.2813239534492391,-0.3170498551143527,0.03572590166511358,0.1427037600489119,7.388282021874687,,,,-124.1396263520159,95.48176715714861,86.21042060655621,,3.089902650788945,,,,,,,,
2016-09-19T04:00:00.000Z,6.66,6.81,6.56,6.74,6.74,416200,TA,6.723411841556781,6.808500000000002,,0.20261046369759478,35.412176450605315,,28.455284552843562,,,223705,-0.2635002393577448,-0.3063399319630311,0.042839692605286306,0.1561157900427979,7.356658508612507,,,,-89.81864095500458,98.9312972686146,97.7117909781699,,17.03134811857039,,,,,,,,
2016-09-20T04:00:00.000Z,6.8,6.8,6.63,6.65,6.65,147100,TA,6.707098098988608,6.792000000000003,,0.19774731350816444,32.37288441308321,,40.40404040403885,,,219560,-0.25371242644437775,-0.2958144308593004,0.04210200441492268,0.15785131628744817,7.322187361850921,,,,-96.82341517547532,98.02756970119239,94.10585686020517,,10.167630972492447,,,,,,,,
2016-09-21T04:00:00.000Z,6.73,6.75,6.6,6.67,6.67,77000,TA,6.6988540769911396,6.777500000000002,,0.1886663722018361,33.73396232276426,,26.004728132388156,,,211470,-0.2415571607550513,-0.2849629768384506,0.04340581608339933,0.1568699017515172,7.290373344199657,,,,-107.46643201668631,98.70499829157254,96.12641252693426,,15.773880240904404,,,,,,,,
