date,open,high,low,close,adjClose,volume,symbol,technicals_ema8,technicals_sma20,technicals_sma50,technicals_stddev20,technicals_rsi14,technicals_cci50,technicals_cci5,technicals_snapback,technicals_hasCherries,technicals_avgVolume,technicals_macd,technicals_macdSignal,technicals_macdHistogram,technicals_atr8,technicals_ema8w,technicals_sma20w,technicals_ema8m,technicals_cci50w,technicals_cci5w,scores_ema8,scores_sma20,scores_sma50,scores_ema8w,scores_sma20w,scores_ema8m,scores_snapback,scores_snapStrength,scores_snapTiming,scores_guruScoreEMA8,scores_guruScoreSMA20,scores_guruScoreSMA50
2016-07-15T04:00:00.000Z,5.32,5.8,5.32,5.59,5.59,189600,XNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18T04:00:00.000Z,5.54,5.721,5.43,5.5,5.5,235500,XNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-19T04:00:00.000Z,5.42,5.58,5.21,5.23,5.23,183300,XNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20T04:00:00.000Z,5.21,5.44,5.19,5.29,5.29,146900,XNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-21T04:00:00.000Z,5.25,5.33,5.24,5.29,5.29,78900,XNET,,,,,,,-69.18730017101689,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-22T04:00:00.000Z,5.23,5.4,5.21,5.31,5.31,56800,XNET,,,,,,,-44.55617198335718,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-25T04:00:00.000Z,5.27,5.42,5.27,5.34,5.34,86900,XNET,,,,,,,88.88888888889046,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-26T04:00:00.000Z,5.3,5.42,5.29,5.32,5.32,86300,XNET,5.35875,,,,,,83.33333333333476,,,,,,,,,,,,,98.26032450227467,,,,,,,,,,,
2016-07-27T04:00:00.000Z,5.3,5.52,5.26,5.45,5.45,76900,XNET,5.379027777777778,,,,,,145.16129032257987,,,,,,,0.2163750000000001,,,,,,96.94126125647388,,,,,,,,,,,
2016-07-28T04:00:00.000Z,5.45,5.55,5.43,5.49,5.49,66100,XNET,5.403688271604938,,,,,,130.06230529595095,,,,,,,0.20432812500000008,,,,,,96.08884352967809,,,,,,,,,,,
2016-07-29T04:00:00.000Z,5.5,5.57,5.49,5.55,5.55,79600,XNET,5.436201989026063,,,,,,105.26315789473772,,,,,,,0.1887871093750001,,,,,,94.0934332525987,,,,,,,,,,,
2016-08-01T04:00:00.000Z,5.59,5.92,5.55,5.88,5.88,116000,XNET,5.534823769242494,,,,,,153.0920060331827,,,,,,,0.21143872070312508,,,,,,46.23250396211064,,,,,,,,,,,
2016-08-02T04:00:00.000Z,5.85,5.9,5.7,5.72,5.72,114000,XNET,5.5759740427441615,,,,,,81.01422387136687,,,,,,,0.21000888061523448,,,,,,91.41576317694084,,,,,,,,,,,
2016-08-03T04:00:00.000Z,5.7,5.84,5.62,5.78,5.78,97700,XNET,5.62131314435657,,,,,,44.03202328966562,,,,,,,0.21125777053833014,,,,,,89.8103658804374,,,,,,,,,,,
2016-08-04T04:00:00.000Z,5.76,5.83,5.73,5.74,5.74,44600,XNET,5.647688001166221,,,,55.72519083969468,,40.91456077015662,,,,,,,0.19735054922103884,,,,,,95.96115663594907,,,,,,,,,,,
2016-08-05T04:00:00.000Z,5.75,5.95,5.735,5.89,5.89,71300,XNET,5.701535112018172,,,,60.585467851542084,,166.66666666667075,,,,,,,0.19955673056840897,,,,,,85.94374805245184,,,,,,,,,,,
2016-08-08T04:00:00.000Z,5.89,6.03,5.87,6,6,87900,XNET,5.767860642680801,,,,63.729879740980586,,133.39494762784992,,,,,,,0.19461213924735787,,,,,,78.52706078521877,,,,,,,,,,,
2016-08-09T04:00:00.000Z,5.99,6.03,5.9,5.94,5.94,84100,XNET,5.806113833196179,,,,60.8770245983431,,79.27489177489223,,,,,,,0.18653562184143813,,,,,,93.02451626803074,,,,,,,,,,,
2016-08-10T04:00:00.000Z,5.73,5.94,5.62,5.77,5.77,119900,XNET,5.798088536930361,,,,53.56111122458723,,-76.14942528735673,,,,,,,0.2032186691112584,,,,,,98.63157733492706,,,,,,,,,,,
2016-08-11T04:00:00.000Z,5.8,5.95,5.73,5.84,5.84,82100,XNET,5.8074021953902815,5.595999999999999,,0.48930154301825807,55.91065009233508,,-40.31165311653165,,,105220,,,,0.20531633547235106,,,,,,98.52026966622226,74.4054823006786,,,,,,,,,,
2016-08-12T04:00:00.000Z,5.88,5.88,5.7,5.76,5.76,98900,XNET,5.796868374192441,5.6045,,0.49446840141713694,52.633191950422706,,-71.67235494880522,,,100685,,,,0.20215179353830715,,,,,,98.40474670126653,90.1505488053735,,,,,,,,,,
2016-08-15T04:00:00.000Z,5.76,5.88,5.63,5.67,5.67,117300,XNET,5.768675402149676,5.6129999999999995,,0.49283262878998413,49.143058751392765,,-90.41835357624885,,,94775,,,,0.20813281934601874,,,,,,95.68992704218921,97.69130480495252,,,,,,,,,,
2016-08-16T04:00:00.000Z,5.67,5.67,5.51,5.58,5.58,103100,XNET,5.726747535005304,5.6305,,0.4610195223632456,45.86759395733602,,-151.6927083333337,,,90765,,,,0.2021162169277664,,,,,,91.5434678883186,97.93864951319951,,,,,,,,,,
2016-08-17T04:00:00.000Z,5.68,5.68,5.45,5.5,5.5,51200,XNET,5.676359193893014,5.640999999999999,,0.4385384817778961,43.1166132016999,,-97.18670076726329,,,85980,,,,0.20560168981179555,,,,,,87.64122788537622,91.92698801894677,,,,,,,,,,
2016-08-18T04:00:00.000Z,5.455,5.62,5.455,5.52,5.52,47400,XNET,5.641612706361233,5.652499999999998,,0.41240150339213916,44.02054353936662,,-71.03064066852367,,,84405,,,,0.2005264785853211,,,,,-26.250712970513156,93.79445229640078,92.81789523914767,,,,,,,,,,
2016-08-19T04:00:00.000Z,5.52,5.61,5.34,5.34,5.34,78500,XNET,5.574587660503181,5.653999999999998,,0.40759784101500585,38.14539530066228,,-119.77299880525686,,,85490,,,,0.20921066876215602,,,,,-59.157558332494865,76.3231291250024,57.08599085857593,,,,,,,,,,
2016-08-22T04:00:00.000Z,5.31,5.4,5.18,5.27,5.27,135400,XNET,5.506901513724697,5.650499999999998,,0.4193554578160589,36.12612249377262,,-134.97652582159625,,,87915,,,,0.2105593351668866,,,,,-101.68723512007892,75.1506826418311,38.454442023185784,,,,,,,,,,
2016-08-23T04:00:00.000Z,5.26,5.37,5.26,5.35,5.35,27600,XNET,5.472034510674764,5.651999999999998,,0.414805978741962,40.033101646084994,,-68.0320150659138,,,84980,,,,0.1979894182710258,,,,,-86.86788104418778,93.4215120676971,60.361042813574926,,,,,,,,,,
2016-08-24T04:00:00.000Z,5.35,5.47,5.22,5.3,5.3,44600,XNET,5.433804619413705,5.644499999999998,,0.4341186473766225,38.45010482898461,,-41.73576561636281,,,83365,,,,0.2044907409871476,,,,,-86.42403852144601,92.14687944745042,48.3522565285118,,,,,,,,,,
2016-08-25T04:00:00.000Z,5.46,5.48,5.25,5.25,5.25,56200,XNET,5.392959148432881,5.6324999999999985,,0.46285526895575213,36.87962632010225,,-23.284313725489206,,,82870,,,,0.2076793983637542,,,,,-88.69587042066672,90.98221778900053,37.585774509422684,,,,,,,,,,
2016-08-26T04:00:00.000Z,5.46,5.46,5.21,5.25,5.25,52000,XNET,5.36119044878113,5.617499999999998,,0.4911567977745161,36.87962632010225,,-33.898305084746085,,,81490,,,,0.21296947356828494,,,,,-95.41864988660929,94.18395148375247,41.41733656045978,,,,,,,,,,
2016-08-29T04:00:00.000Z,5.33,5.4,5.21,5.39,5.39,35300,XNET,5.367592571274212,5.592999999999998,,0.4851845009891766,44.27126985640822,,80.24691358024494,,,77455,,,,0.21009828937224936,,,,,-86.16755697527744,98.72260856414141,82.84824179143875,,,,,,,,,,
2016-08-30T04:00:00.000Z,5.25,5.45,5.25,5.43,5.43,44900,XNET,5.3814608887688316,5.578499999999998,,0.4864678817765082,46.20944973050667,,166.66666666666845,,,74000,,,,0.2088360032007182,,,,,-72.50290281640733,97.9285582221862,90.9094164442237,,,,,,,,,,
2016-08-31T04:00:00.000Z,5.43,5.47,5.31,5.4,5.4,54600,XNET,5.3855806912646464,5.559499999999998,,0.48317595138844005,44.94686570143534,,101.76991150442576,,,71845,-0.02964816647348556,0.018516527840679586,-0.048164694314165146,0.20273150280062846,,,,,-66.4548726094644,98.90732433796181,89.4790619274793,,,,,,,,,,
2016-09-01T04:00:00.000Z,5.4,5.4,5.26,5.31,5.31,84700,XNET,5.368784982094725,5.5379999999999985,,0.4873848581973995,41.301036002607376,,-50.72463768115963,,,73850,-0.03809400179096034,0.007194421914351601,-0.04528842370531194,0.19489006495054997,,,,,-85.15973981870918,97.51201515450418,77.43339586070934,,,,,,,,,,
2016-09-02T04:00:00.000Z,5.31,5.48,5.31,5.45,5.45,130000,XNET,5.386832763851453,5.515999999999999,,0.4608427063544319,48.32308356963356,,95.23809523809446,,,76785,-0.03310889838680531,-0.0008662421458797819,-0.032242656240925524,0.19177880683173132,,,,,-52.933016756448936,97.32554332167835,97.26588665570449,,,,,,,,,,
